date,harvest_type,total_stock,total_net_meat,houses_harvested
2025-04-29,SH,29999,47363.845,7
2025-04-30,SH,29999,47388.270515451004,6
2025-05-02,SH,29996,48664.587143321,9
2025-05-03,Market,23729,45250.947842063004,1
2025-05-03,SH,30000,47962.324596783,6
2025-05-04,Market,23136,46698.310761119996,1
2025-05-05,Market,100000,198358.573033096,5
2025-05-05,SH,29999,48944.821815194,4
2025-05-06,Market,100000,205573.343219937,4
2025-05-06,SH,29999,48032.845,4
2025-05-07,Market,100000,217626.171201124,5
2025-05-08,Market,100000,217267.982601525,3
2025-05-09,SH,29996,48608.786580241,9
2025-05-10,Market,100000,218853.619353033,4
2025-05-10,SH,30000,48278.744786858006,4
2025-05-11,Market,48697,104638.398399136,2
2025-05-12,Market,22697,49786.967739739,1
2025-05-12,SH,29998,49051.619254042,6
2025-05-13,Market,100000,205953.91454742601,4
2025-05-13,SH,30000,48230.043575228,4
2025-05-14,Market,100000,213823.057256768,5
2025-05-15,Market,100000,215922.004466752,4
2025-05-16,SH,29999,49225.076490629,9
2025-05-17,Market,100000,212678.927104136,5
2025-05-18,Market,100000,216967.006239483,5
2025-05-18,SH,29996,47662.191162539,9
2025-05-19,Market,89973,179770.69083141198,4
2025-05-20,Market,100000,216321.416819726,5
2025-05-20,SH,30000,49387.813010555,3
2025-05-21,Market,100000,211434.017153144,5
2025-05-21,SH,29996,48054.196680860005,10
2025-05-22,Market,100000,218435.527774923,4
2025-05-24,Market,100000,216958.712811489,5
2025-05-25,Market,100000,218293.476146919,5
2025-05-26,Market,100000,217676.670018692,4
2025-05-27,Market,100000,211743.27924601402,3
2025-05-28,Market,100000,210962.066283842,3
2025-05-29,Market,100000,212194.943607021,4
2025-05-09,Culls,11901,14281.199999999999,12
2025-05-10,Culls,9518,11421.6,11
2025-05-14,Culls,4397,5276.4,5
2025-05-15,Culls,6023,7227.599999999999,7
2025-05-17,Culls,10498,12597.6,12
2025-05-20,Culls,5006,6007.2,6
2025-05-21,Culls,2572,3086.3999999999996,3
2025-05-22,Culls,2582,3098.3999999999996,3
2025-05-23,Culls,4185,5022.0,5
2025-05-24,Culls,2616,3139.2,3
2025-05-25,Culls,33940,40728.0,12
